date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,12.3,8.2,18.4,0,,48,2.1,,1030.9,
2023-01-02,11.9,7.2,17.4,0,,53,3.1,,1030.3,
2023-01-03,11.7,8,17.8,0,,46,2.7,,1028.8,
2023-01-04,11.3,7.5,16.2,0,,52,2.8,,1026.7,
2023-01-05,10.5,7,16.8,0,,77,2.9,,1023.6,
2023-01-06,10.7,5.6,17.2,0,,44,2.9,,1023.1,
2023-01-07,9.5,4.7,16.8,0,,46,2.8,,1023,
2023-01-08,10,5.6,16.8,0,,116,4,,1021.8,
2023-01-09,12.1,8.4,15.4,20.2,,135,12.8,,1014.9,
2023-01-10,9.8,6,14.8,16.9,,107,8.4,,1007.3,
2023-01-11,7.6,1.5,13.2,0,,32,5.5,,1014.2,
2023-01-12,6.4,0.5,14.2,0,,39,5.4,,1018.1,
2023-01-13,7.3,1.8,14.2,0,,42,4.4,,1019.5,
2023-01-14,8.2,1.9,13.2,0,,41,4.6,,1019.2,
2023-01-15,7.3,0.9,16.2,0,,74,5.9,,1018.8,
2023-01-16,10.9,7.7,15,9.8,,137,14.5,,1010.1,
2023-01-17,12.2,10.2,14.4,33,,149,18,,1003.2,
2023-01-18,13.4,11.8,15.6,26.1,,150,17.6,,1003.4,
2023-01-19,12.2,8.4,16.6,35.4,,146,16.9,,1005.7,
2023-01-20,8.3,6,11.6,15.3,,129,11.8,,1006.7,
2023-01-21,9.2,7,12,10.5,,135,18,,1006.5,
2023-01-22,11,6,17,0.2,,118,12.7,,1014.5,
2023-01-23,10,7.5,14,28.8,,122,11.1,,1018.6,
2023-01-24,9.4,2.1,15,1.5,,36,5,,1024.9,
2023-01-25,9.2,2.9,13.8,1.9,,72,11.8,,1020,
2023-01-26,8.8,5.1,13.8,15.2,,88,11.6,,1009.4,
2023-01-27,8.1,3.3,13.4,3.2,,48,5.9,,1005.5,
2023-01-28,6.7,0,14.4,0,,21,5.7,,1011.6,
2023-01-29,5.6,-1.2,13.2,0,,29,6.8,,1017.5,
2023-01-30,5.2,-0.4,11.8,0,,17,5.3,,1017.3,
