date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,9.8,1.4,18,0,,131,3.6,,1022.3,
2022-01-02,9.9,2,19.6,0,,109,4.4,,1023.6,
2022-01-03,10.2,1.6,17.2,0.6,,210,3,,1021.2,
2022-01-04,10.6,6,17.4,0,,124,3.3,,1017.8,
2022-01-05,11.4,4,20.6,0,,138,9.5,,1011.3,
2022-01-06,12.5,3.2,19.8,0,,130,10.1,,1009.8,
2022-01-07,10,6.4,16.2,1.2,,116,3.6,,1012.8,
2022-01-08,9.4,7.2,12.2,6.8,,24,3.6,,1009.7,
2022-01-09,8.2,5.1,11.2,4.6,,158,3.7,,1004.2,
2022-01-10,7.3,3.8,12,2.5,,119,5.3,,997.6,
2022-01-11,8.7,3,13,1.5,,70,16.4,,1005.2,
2022-01-12,7.8,2.6,12,0,,74,13.7,,1017.7,
2022-01-13,3.7,-3,13.6,0,,62,7.3,,1027.6,
2022-01-14,2.9,-3.4,13.6,0,,134,4.9,,1026.5,
2022-01-15,5.3,-3.8,17,0,,90,5.3,,1020.1,
2022-01-16,6.7,-0.8,17.4,0,,95,6.6,,1024.1,
2022-01-17,7.5,1.4,15.2,3.4,,172,7.3,,1022.9,
2022-01-18,5.7,-2.4,14.8,0,,107,5,,1026.2,
2022-01-19,3,-5.2,13,0,,120,7,,1029.7,
2022-01-20,6.3,-3,13.4,0.1,,153,8.9,,1024.9,
2022-01-21,6.9,2.3,10.1,20.2,,146,8.5,,1017.7,
2022-01-22,1.6,-4.8,10.8,2.3,,87,5.8,,1020.8,
2022-01-23,0.5,-3.4,7.4,0,,144,5.9,,1024.8,
2022-01-24,-0.4,-4.8,5,0,,69,10.1,,1026.5,
2022-01-25,-0.5,-8.2,7.8,0,,73,6.8,,1029.2,
2022-01-26,1.3,-7,11.8,0,,145,6.6,,1026,
2022-01-27,2.9,-5.4,12.6,0,,141,5.6,,1025.6,
2022-01-28,5.1,-1.2,12.3,3.4,,147,7.8,,1023.2,
2022-01-29,5.2,-1.2,12.2,4.5,,57,10.1,,1021.4,
2022-01-30,2.8,-8,13,0,,146,5.9,,1020.3,
2022-01-31,5.5,-3.6,14.6,0,,143,5.9,,1013.5,
2022-02-01,6.6,2.4,9,14.8,,81,11.1,,999.8,
2022-02-02,5.8,-0.6,12.6,0.1,,40,4.4,,1006,
2022-02-03,4,-4.8,12.6,0,,50,6,,1016.7,
2022-02-04,4.7,-4.2,15.6,0,,135,6.1,,1021.8,
2022-02-05,9,-2,18.2,0.1,,133,8.3,,1018.8,
2022-02-06,10.8,4.6,17.6,0.4,,156,4.4,,1021.4,
2022-02-07,9.3,4.1,15,14.8,,181,11.7,,1012.3,
2022-02-08,5.1,-2.2,11,4.8,,356,12.7,,1019.7,
2022-02-09,5.1,-3.8,15,0,,158,5,,1028.9,
2022-02-10,7.3,-2,17.2,0,,136,5,,1027.5,
