date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,8.7,-0.4,17,0,,3,5.4,,1021.9,
2022-01-02,9.7,1,17.8,0,,350,2.9,,1024.3,
2022-01-03,9.8,0.8,15.8,0.2,,314,1.8,,1022.2,
2022-01-04,9.9,6.4,16,0.8,,24,1.8,,1018.9,
2022-01-05,10.8,4,15,1.3,,174,7,,1015.1,
2022-01-06,12.3,10.1,16,4.5,,176,7.1,,1012.5,
2022-01-07,10.5,8.2,14,5.3,,45,2.2,,1013.8,
2022-01-08,10,8.6,12.1,14.9,,66,2.7,,1010.3,
2022-01-09,8.6,6.7,11.6,3.7,,352,3.8,,1004.2,
2022-01-10,5.9,4,7.8,13.7,,13,2.6,,998.5,
2022-01-11,7.3,2.6,13,2.9,,6,10.1,,1003.8,
2022-01-12,6.1,0.8,12.2,0,,358,7.2,,1017.5,
2022-01-13,2.4,-1.8,9.6,0,,4,4.6,,1028.3,
2022-01-14,3.1,-4.6,12.3,0,,0,4.6,,1026.3,
2022-01-15,6,-2.6,16.9,0,,6,5.5,,1019.6,
2022-01-16,5.3,-4.1,14.4,0,,335,2.2,,1025,
2022-01-17,6.2,-1.4,11,2.7,,334,1.8,,1024.2,
2022-01-18,5.9,0.2,12.2,0,,1,6.7,,1025.9,
2022-01-19,3.3,-3.2,12,0,,344,3,,1030.5,
2022-01-20,4.5,-3.8,9.8,3.8,,261,1.8,,1027,
2022-01-21,6.4,2,9.8,6.8,,308,2.6,,1018.8,
2022-01-22,2,-2.2,5.6,0,,0,7.8,,1020,
2022-01-23,0,-4.3,6.2,0,,359,8.7,,1024.2,
2022-01-24,-1,-4.2,3.4,0,,9,10.2,,1025.6,
2022-01-25,-1.1,-7.2,5.8,0,,358,6.7,,1028.9,
2022-01-26,1.3,-7.4,9,0,,358,5.5,,1025.9,
2022-01-27,3.4,-5.4,10.3,0,,350,4,,1025.9,
2022-01-28,4.2,-3.8,11.5,0.8,,343,2.8,,1024,
2022-01-29,4.1,-0.3,10.2,7.8,,6,6.5,,1020.6,
2022-01-30,3.7,-4,12.8,0,,1,5.5,,1020.2,
2022-01-31,4.9,-3.4,13.2,0.2,,352,4.7,,1014.9,
2022-02-01,6,2.8,8.3,26,,34,2.9,,1001,
2022-02-02,5.4,0.6,10,2.2,,6,11.7,,1005,
2022-02-03,2.8,-5.7,11.2,0,,5,13.1,,1015.4,
2022-02-04,4.5,-4.2,12.6,0,,339,2.7,,1022.6,
2022-02-05,8.4,-1,15,0.2,,249,1.5,,1020.6,
2022-02-06,10.2,4.4,16,0.1,,349,2,,1022.1,
2022-02-07,8.8,5.4,12.6,21.1,,206,5.8,,1014,
2022-02-08,4.2,-0.4,8,2.4,,356,14.5,,1017.8,
2022-02-09,5.6,-0.7,13.6,0,,357,13.3,,1027.7,
2022-02-10,8,-0.6,17.2,0,,339,3.1,,1027.9,
2022-02-11,7.7,-1.6,16.8,0,,339,1.9,,1025.6,
2022-02-12,7.8,-1.2,16,0,,340,1.6,,1024.8,
2022-02-13,8.5,3.6,15.6,0.6,,8,2.3,,1025.5,
2022-02-14,7.7,0.8,13.2,0.3,,325,1.4,,1024.2,
2022-02-15,7.5,0.4,11,11.6,,201,2.4,,1023.5,
2022-02-16,8.7,5,12.8,44.2,,135,5.4,,1017.8,
2022-02-17,9.2,2.4,15.6,0.1,,354,4.1,,1014.2,
2022-02-18,9.6,1,17.2,0,,0,2.7,,1016.5,
2022-02-19,11.2,1,20.4,0,,257,3.4,,1020.7,
2022-02-20,11,7.6,13.8,2.1,,214,4.4,,1020.5,
2022-02-21,10.5,5.8,13.6,6.4,,2,4.1,,1015.2,
2022-02-22,8.6,5.7,12,20.3,,74,4.3,,1006,
2022-02-23,8.5,4.1,16.8,0,,10,6.7,,1014.9,
2022-02-24,7.6,1,15,0,,4,8.3,,1020.8,
2022-02-25,7.1,-2,16,0,,348,2.2,,1020.2,
2022-02-26,7.9,0.8,13.6,6.9,,93,6.3,,1017.2,
2022-02-27,5.3,1.5,9.4,24.2,,53,2.8,,1013.8,
2022-02-28,4.5,-3.7,11,0.6,,357,2.5,,1018.2,
2022-03-01,4.4,-0.1,9.4,5.1,,22,3.3,,1019.3,
2022-03-02,4.3,-1.6,11,0,,5,6.6,,1017.6,
2022-03-03,5.4,-1.9,13,0,,340,3.2,,1016.9,
2022-03-04,5.9,3.2,8.8,3.4,,52,2,,1014.5,
2022-03-05,6.5,3.1,11.1,16.8,,76,6.2,,1010,
2022-03-06,6.3,3.5,8.6,10.9,,350,3.6,,1010.4,
2022-03-07,5,0.1,8.8,6.7,,338,2.2,,1013.7,
2022-03-08,3.9,-1.4,8.7,2.3,,26,3.4,,1012.1,
2022-03-09,3.8,-1.2,10,0,,16,6,,1014.1,
2022-03-10,3.9,-2.2,9.6,0.4,,353,9.3,,1019.2,
2022-03-11,2.8,-3,9.2,0.6,,346,3.9,,1024.1,
2022-03-12,2.5,-3.8,10.2,0,,14,5.2,,1026.6,
2022-03-13,3.5,-5.6,11.6,0,,328,4.2,,1028.6,
2022-03-14,6,-2.8,14.2,0,,341,4.1,,1032.2,
2022-03-15,7.5,-2,16.8,0,,325,2.9,,1035.5,
2022-03-16,8.4,1.4,16.4,0,,327,2.3,,1028.6,
2022-03-17,10.2,2.4,19,0.3,,2,2.6,,1024.1,
2022-03-18,9.9,2.6,17.8,0.3,,7,4.3,,1028.6,
2022-03-19,5.4,-0.6,12.4,0,,30,5.6,,1032.5,
2022-03-20,4.2,-1.9,10.8,0,,31,6.5,,1033.3,
2022-03-21,4.9,-4.2,12,0,,14,4.4,,1030.9,
2022-03-22,7.2,-1.4,16.2,0,,2,8.1,,1027.3,
2022-03-23,10.9,3.7,19,0,,0,10.3,,1024.1,
2022-03-24,11,0.2,20.4,0,,353,7.3,,1024.6,
2022-03-25,11.5,0.6,20.8,0,,351,5.8,,1024.2,
2022-03-26,11.7,1.4,21.6,0,,324,3.5,,1026.5,
2022-03-27,12,3,20.8,0,,340,2,,1028.4,
2022-03-28,11.2,7,18,5.6,,9,3.7,,1026.6,
2022-03-29,12.5,4.6,20.4,0.2,,332,3.4,,1018.1,
2022-03-30,11.4,4,16.3,0,,197,4.8,,1014,
2022-03-31,12.6,9.5,16.2,29.5,,167,9.3,,1007.1,
2022-04-01,12.9,10.8,17.8,122.5,,192,9.2,,1002.4,
2022-04-02,9.9,6.1,13.8,47.3,,197,8,,1008.2,
2022-04-03,7.7,4.6,13.2,17,,217,3.9,,1014.2,
2022-04-04,8.4,1.8,13.6,0.1,,347,1.8,,1018.2,
2022-04-05,12.9,7.3,19.8,0,,348,6,,1011.4,
2022-04-06,13.6,5.4,21,0,,353,4.1,,1012.5,
2022-04-07,12.4,9.3,15.4,29.6,,246,4.2,,1007.1,
2022-04-08,12.8,6.2,20.4,0,,312,4.7,,1013.2,
2022-04-09,14,7,21.8,0,,207,4.6,,1011.6,
2022-04-10,10.6,7.6,12.2,12.2,,290,6,,1009.4,
2022-04-11,8.9,4.5,15.4,0,,6,8,,1018.3,
2022-04-12,10.5,1.8,17.8,0,,306,5.2,,1021.5,
2022-04-13,13.1,4.6,22.6,0,,352,3.4,,1019.2,
2022-04-14,15.7,6.6,24.8,0,,347,3.1,,1019.7,
2022-04-15,16.6,5.8,26,0,,345,3.8,,1018.6,
2022-04-16,16.9,10.8,22.4,0.2,,335,2.5,,1012.8,
2022-04-17,15.1,10.4,19.8,0,,34,7.8,,1005.4,
2022-04-18,10.2,8.1,15,5.9,,15,3.2,,1006.7,
2022-04-19,9.5,3.8,14.5,1.9,,336,3.5,,1012.8,
2022-04-20,10.1,4,13.4,3.5,,187,4.4,,1016.3,
2022-04-21,13.4,6.2,20.4,0.7,,133,2.8,,1015.1,
2022-04-22,17.3,11.8,23.8,1,,180,15.5,,1009,
2022-04-23,16,12.2,22.4,1.7,,242,4,,1010.6,
2022-04-24,16.3,6,26.4,0,,333,3.9,,1012.3,
2022-04-25,17,9.4,25,0,,314,4.1,,1012.3,
2022-04-26,16.4,7.4,24.8,0,,344,5,,1014,
2022-04-27,16.9,6.2,26,0,,352,4.9,,1015,
2022-04-28,17.7,7.8,25.8,0,,348,7.5,,1014.9,
2022-04-29,16.9,10.6,23.8,3.3,,7,5.5,,1015.5,
2022-04-30,17.4,10.4,24.6,0.6,,357,3.8,,1016.4,
2022-05-01,15.8,12.5,21.6,5.6,,18,3.2,,1016.1,
2022-05-02,13.5,11.4,14.3,16.3,,24,1,,1013,
2022-05-03,13,8.4,17.2,5.1,,236,2,,1013.6,
2022-05-04,15.2,8,23.2,0.6,,350,3.1,,1017.4,
2022-05-05,16.6,9.6,23.6,0,,355,3.4,,1020.7,
2022-05-06,15.9,10.4,21.5,2.1,,5,2.4,,1019.8,
2022-05-07,17.5,10,24.4,0.4,,38,3.6,,1016.5,
2022-05-08,17.2,10.4,23.8,0.5,,20,4.2,,1016.9,
2022-05-09,17.5,10.8,26.8,0.1,,345,4.5,,1019,
2022-05-10,17.1,10.4,28.6,4.2,,1,3.3,,1019.5,
2022-05-11,17.7,7,26.8,1.9,,340,3.5,,1020,
2022-05-12,19.2,8.8,27.4,0.1,,332,4.2,,1021.5,
2022-05-13,19.2,10.8,26.4,1.3,,352,4.8,,1019.1,
2022-05-14,20.4,12,28.2,0.3,,358,2.6,,1016.4,
2022-05-15,20.2,12.8,29.8,4.6,,354,2.7,,1018.2,
2022-05-16,21.1,13,30,0.7,,350,3.5,,1019.3,
2022-05-17,21.6,14.4,29.8,0.7,,356,3.6,,1017.5,
2022-05-18,19.6,14.2,27.2,0.6,,3,6.4,,1015,
2022-05-19,18.4,10.4,26.2,0,,11,4.2,,1022.1,
2022-05-20,18.6,6.2,27.6,0,,357,7.3,,1024.9,
2022-05-21,20.9,11,29.8,0,,340,5.8,,1018.9,
