date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,11.5,7.1,17.8,0,,342,2.3,13,1030.6,
2023-01-02,10.7,6.4,16.4,0,,152,3.1,9.3,1029.9,
2023-01-03,10.8,7.7,15.5,0,,63,2.7,11.1,1028.8,
2023-01-04,11.1,7.4,16,0,,340,3.7,16.7,1026.6,
2023-01-05,10.6,6.2,15.6,0.1,,29,4.3,13,1022.8,
2023-01-06,10.9,7.6,15.6,0.2,,344,4.9,16.7,1022.1,
2023-01-07,10.4,6.9,16.2,0,,324,3.2,11.1,1022.9,
2023-01-08,9.2,4.9,15.4,0,,131,3.3,13,1021.1,
2023-01-09,12.2,8.6,16.6,23.8,,142,10.1,27.8,1013.7,
2023-01-10,11.1,8.2,14,10.9,,2,7.7,25.9,1007,
2023-01-11,9,5.6,13.6,0,,352,9.2,25.9,1013.6,
2023-01-12,7.8,3.6,13,0,,340,6.5,16.7,1017.6,
2023-01-13,8.5,4.9,14,0,,1,3.7,14.8,1018.4,
2023-01-14,9,6,13.6,0,,34,4.6,16.7,1017.6,
2023-01-15,8.1,3.2,14,0,,12,5.5,16.7,1017.5,
2023-01-16,10.4,5.3,15.6,33.6,,131,11.9,24.1,1010,
2023-01-17,13.9,10.9,17.4,20.1,,147,16,37,1000.9,
2023-01-18,15,12.6,18.6,16.2,,141,18.3,31.5,1000.1,
2023-01-19,13.7,10.2,16.6,46.1,,151,16.6,31.5,1003.9,
2023-01-20,10.7,9,13.7,20.3,,123,9.9,22.2,1005.8,
2023-01-21,10.4,7.2,13.9,10.9,,130,17.5,29.6,1005.1,
2023-01-22,10.3,5.9,14.7,4.1,,123,9.4,18.5,1014.3,
2023-01-23,10.1,8.4,12.8,26.8,,144,9.8,16.7,1017.4,
2023-01-24,9.7,6.1,14.6,0.5,,12,4.1,13,1023,
2023-01-25,8.6,5.4,12.4,5.5,,12,7.3,18.5,1019.7,
2023-01-26,9.5,7.2,13.1,16.5,,45,5.3,20.4,1009.5,
2023-01-27,9.6,7.1,14.6,0.1,,347,6.1,18.5,1005.2,
2023-01-28,8.9,5.3,13.7,0,,340,7.6,25.9,1010.8,
2023-01-29,8.4,4.5,19,0,,347,8,22.2,1017.1,
2023-01-30,6.9,3.4,11.4,0,,347,5.6,16.7,1016.9,
2023-01-31,8.1,5.2,12.6,0.3,,358,12.4,31.5,1016.4,
2023-02-01,7.5,2.4,12.7,0,,24,6.2,22.2,1021.6,
2023-02-02,8.8,5.8,12.6,1.9,,70,6.2,16.7,1020.7,
2023-02-03,8.3,5.1,12.4,5.7,,347,7.9,22.2,1023.6,
2023-02-04,8,4.4,12,3.7,,4,9.9,31.5,1017.1,
2023-02-05,4.3,-0.4,8.2,0,,355,24.9,42.6,1020.8,
2023-02-06,2.6,-0.6,7.5,0,,2,17.4,35.2,1025.6,
2023-02-07,2.3,-1.5,9,0,,2,11.1,27.8,1029.1,
2023-02-08,2.6,-1.6,8.4,0,,17,7.2,20.4,1032.1,
2023-02-09,4.7,-0.2,9.8,0,,1,7.4,22.2,1031.4,
2023-02-10,5.9,1.2,11.6,0,,346,7.3,18.5,1030,
2023-02-11,6.1,1,11.8,0,,337,5.6,20.4,1030.4,
2023-02-12,6.9,3.1,11.8,0,,356,10.2,27.8,1028.3,
2023-02-13,7.6,2.8,14,0,,334,7.6,20.4,1033.1,
2023-02-14,7.6,3.1,14.2,0,,336,6.7,16.7,1029.3,
2023-02-15,8.5,4.1,14.4,0,,344,6.5,18.5,1028.1,
2023-02-16,9.1,3.8,15.8,0,,137,3.7,13,1029.4,
2023-02-17,9.7,5.8,16.2,0,,146,3.7,13,1028.6,
2023-02-18,10.5,5.9,16,0,,150,3.7,13,1028.4,
2023-02-19,10.5,6.2,16,0.1,,146,3.8,14.8,1024.4,
2023-02-20,11.2,6.2,17.4,0,,336,6.2,20.4,1023.6,
2023-02-21,11.2,6.3,17.2,0,,60,4,13,1022,
2023-02-22,10.8,6,17,0,,316,3.6,14.8,1017.3,
2023-02-23,10.6,6.2,16.4,0,,229,4.2,13,1015.9,
2023-02-24,11.4,6.5,16.7,0,,170,4.6,13,1015.8,
2023-02-25,13.3,9.2,17.3,0,,142,8.4,20.4,1008.4,
2023-02-26,15.4,12,20,17.9,,165,13.4,22.2,1001.3,
2023-02-27,13.1,10.6,17.4,4.9,,125,9.9,16.7,1012.3,
2023-02-28,14.2,10,20.6,3.2,,37,7,16.7,1016.3,
2023-03-01,13.4,9.7,18.7,29.9,,127,6.5,14.8,1013.7,
