date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,3.7,0,8.6,0,,289,2.8,,1034,
2023-01-02,4,-3,9.6,0,,304,2.6,,1032.1,
2023-01-03,4.7,-0.3,11.6,0,,297,2.6,,1029,
2023-01-04,3.8,-0.2,8.3,0,,256,3,,1028.5,
2023-01-05,3.4,0,10.3,0,,302,4,,1025,
2023-01-06,4.6,-0.1,9.8,0,,271,3.5,,1025.3,
2023-01-07,3.5,-0.4,10.2,0,,325,2.7,,1025.9,
2023-01-08,4.2,-0.5,12.4,0,,265,4.3,,1022.7,
2023-01-09,5,-0.2,10.4,3,,174,7.5,,1017.5,
2023-01-10,4.7,0.2,8.2,8.1,,240,6.6,,1007.9,
2023-01-11,2.1,-0.3,5,0.6,,343,5.6,,1016.2,
2023-01-12,1.5,-2.4,5.6,0,,310,5.6,,1020.9,
2023-01-13,1.8,-2.9,6.8,0,,286,5.2,,1021.9,
2023-01-14,2.9,-0.4,7.7,0,,48,5.4,,1020.6,
2023-01-15,2.5,-0.7,7.5,0,,51,4.8,,1021,
2023-01-16,3.2,-2.7,8.4,0,,165,11.1,,1012.9,
2023-01-17,7.2,4,10,16.3,,191,18.1,,1005.4,
2023-01-18,9.5,7.6,11.2,4.3,,201,18.4,,1005.4,
2023-01-19,8.8,5.1,11.6,4.3,,197,21.5,,1007.2,
2023-01-20,3.9,0.8,7,9.5,,203,10.9,,1007.8,
2023-01-21,3.1,1.4,6.2,15.1,,131,12.5,,1009.7,
2023-01-22,4.5,1.2,8.4,2.1,,105,11.4,,1018,
2023-01-23,4.9,3.3,6.4,25.4,,129,11.3,,1020.5,
2023-01-24,3.8,1.2,7.6,8.3,,55,5.5,,1026.5,
2023-01-25,3.4,1.5,5.4,5.8,,94,14.4,,1024.3,
2023-01-26,1.4,0.1,4.4,15.2,,84,13.8,,1014.2,
2023-01-27,1.8,0.3,5.7,0.4,,50,5,,1007.9,
2023-01-28,1.4,-1.1,6,0,,354,5.9,,1013.9,
2023-01-29,0.5,-3.3,4.1,0,,31,7.2,,1020.6,
2023-01-30,-0.2,-5.5,5.5,0,,277,6.7,,1018.6,
2023-01-31,0.1,-2.7,3.9,1,,313,8.4,,1017,
2023-02-01,0.2,-3.6,5.9,0,,281,7,,1022.8,
2023-02-02,2.4,-2.4,8,0.1,,241,11.6,,1022.1,
2023-02-03,1.4,-2.6,5.1,5.4,,289,8.7,,1024.2,
2023-02-04,1.3,-2.5,5.9,2.1,,300,11,,1017.1,
2023-02-05,-3.9,-6.9,2.6,0,,11,13.7,,1021.8,
2023-02-06,-5.6,-8.4,4,0,,43,12.5,,1027.7,
2023-02-07,-5.1,-8,-0.5,0,,45,9.9,,1032.8,
2023-02-08,-4.7,-8.8,-0.1,0,,75,9,,1035.8,
2023-02-09,-3.5,-8.2,1.5,0,,95,13.1,,1035.9,
2023-02-10,-1.7,-6.5,3.1,0,,86,11,,1035,
2023-02-11,0.2,-6,6.2,0,,344,4.9,,1033.3,
2023-02-12,0.5,-3.7,5,0,,11,7.1,,1030.2,
2023-02-13,1.3,-3.4,6.4,0,,25,6.8,,1035.9,
2023-02-14,2.9,-4,8.8,0,,329,7.4,,1030.5,
2023-02-15,3.2,-2,9.4,0,,317,5.2,,1030.9,
2023-02-16,5.1,-1.6,14.6,0,,277,6.9,,1030.3,
2023-02-17,4.5,-1.5,14,0,,262,8.3,,1029.6,
2023-02-18,4.8,-2.3,14.8,0,,261,9.1,,1028.1,
2023-02-19,6.1,-1,15.2,0,,242,9.7,,1024.1,
2023-02-20,7.1,1.8,12,0,,302,6.7,,1024.9,
2023-02-21,7.6,1.3,17.2,0,,257,8.2,,1021.2,
2023-02-22,8,1.3,16.6,0,,305,6.5,,1016.9,
2023-02-23,7.1,1.4,16.4,0.4,,340,4.8,,1016.2,
2023-02-24,6.6,0.3,14,0.1,,255,7.2,,1016.1,
2023-02-25,8.4,2.2,14.4,0,,199,13.8,,1011.1,
2023-02-26,9.9,3.1,14.4,3.4,,146,17.2,,1005.4,
2023-02-27,7.3,2.8,12.2,5.3,,179,9.1,,1015.2,
2023-02-28,7.2,3,12.8,0,,101,11.9,,1019.7,
2023-03-01,8.3,5.9,11.6,4.4,,111,13.3,,1017.8,
2023-03-02,6.7,4.4,11.2,4.9,,96,7.6,,1017.3,
2023-03-03,5.6,2,11.2,0.3,,146,6.1,,1016.2,
2023-03-04,5.1,2.5,8.4,6.5,,66,8,,1014.2,
2023-03-05,4.8,1.1,8.6,0.2,,15,6.1,,1011.1,
2023-03-06,4.6,-1,9.8,0.6,,219,9.7,,1013.8,
2023-03-07,5.6,2.2,11.2,3.4,,179,6.7,,1010.9,
2023-03-08,6,1.4,11.4,0,,246,9.6,,1012.9,
2023-03-09,8.1,1.8,13.4,0,,213,11.8,,1013,
2023-03-10,10,5.9,14.2,2.7,,201,15.3,,1007.3,
2023-03-11,8.1,2.9,12,1.1,,238,12.3,,1002.5,
2023-03-12,4.9,0.8,9.8,0,,19,7.7,,1010.3,
2023-03-13,4.5,-2.3,10.8,0,,74,6.1,,1020.9,
2023-03-14,7.2,0.4,17,0,,191,7.7,,1014.1,
2023-03-15,5.5,2.1,9.6,16.9,,123,8.3,,1004.1,
2023-03-16,3.5,-0.7,6.3,0.9,,11,10.2,,1011.9,
2023-03-17,3.5,-2,8.8,0,,32,9.5,,1020,
2023-03-18,6,-0.3,12.8,0,,348,6.5,,1019.9,
2023-03-19,6.9,0,15,0,,354,4.8,,1022.1,
2023-03-20,10.1,3,18,0,,280,6.1,,1018.8,
2023-03-21,7.8,5.5,10.1,6.2,,325,6.3,,1014.4,
2023-03-22,8.3,4.8,12.6,0,,359,8.8,,1014.3,
2023-03-23,9,3.1,15.8,0,,10,5.7,,1017,
2023-03-24,10.4,4,19.4,0,,290,5.9,,1017.2,
2023-03-25,10.8,4.4,18.4,0,,275,8.8,,1013.3,
2023-03-26,9.9,1.4,17.8,0,,290,8.9,,1012.3,
2023-03-27,6.8,2.8,12,3.9,,237,13.1,,1005,
2023-03-28,3.2,-0.8,6.7,4.5,,306,13.3,,1013.5,
2023-03-29,1.3,-5.7,9,0,,294,10.5,,1026.5,
2023-03-30,5.7,-2.4,14.4,0,,282,9.8,,1025,
2023-03-31,9,0.1,18.6,0,,238,12,,1017.5,
2023-04-01,9.3,5.3,14,0.7,,226,17,,1009,
2023-04-02,9.4,3.4,14.8,0,,265,8.2,,1008.1,
2023-04-03,6.1,2.5,10.2,28,,48,10.5,,1003.9,
2023-04-04,5.5,2.2,9.8,1.6,,357,6.8,,1004.5,
2023-04-05,4.8,1,8.7,0.4,,287,9.5,,1012.7,
2023-04-06,4,1.1,8.4,5,,10,8.6,,1012.9,
2023-04-07,5,-2.8,11,0,,299,7.2,,1016.3,
2023-04-08,5.8,-1.4,12.2,0,,123,5.6,,1017.4,
2023-04-09,5.8,4.1,8.2,8.3,,67,6.9,,1017.8,
2023-04-10,4.7,2.2,8,7.8,,62,7.8,,1016.5,
2023-04-11,6.2,0.5,12,0,,320,10.7,,1014.3,
2023-04-12,8,0.5,15.2,0,,288,11.3,,1010.2,
2023-04-13,10.3,1.9,20,0,,218,9.9,,1009.9,
2023-04-14,9.3,4.7,14.2,7.2,,211,13.2,,1008,
2023-04-15,7.9,2.1,14.6,0,,227,10.2,,1012.2,
2023-04-16,8.3,4.1,13,8.5,,143,9.4,,1009.7,
2023-04-17,7.9,4.2,12.4,12,,95,7.5,,1008.8,
2023-04-18,8.4,4.8,14.4,0.5,,4,5.7,,1011.3,
2023-04-19,7.9,1.3,12.4,1.1,,311,7.6,,1013.2,
2023-04-20,8.4,1,14.2,0.1,,316,6.8,,1013.8,
2023-04-21,10.5,4,18,0.2,,341,5.4,,1012.6,
2023-04-22,10.1,6.6,15.6,1.4,,68,6.5,,1014.1,
2023-04-23,10.6,4.7,18,0.2,,322,5.7,,1016.1,
2023-04-24,10.6,3.7,19.2,0.5,,208,11.9,,1013.6,
2023-04-25,10.7,6.7,16,1.4,,242,11.4,,1009.7,
2023-04-26,8.5,5.1,13,5.8,,276,12.1,,1008.7,
2023-04-27,7.9,1.7,13.2,0,,325,8.4,,1015.6,
2023-04-28,9.2,2.7,15.4,0,,0,7.2,,1020.1,
2023-04-29,11.9,6.4,20,0,,310,6.6,,1016.3,
2023-04-30,13.1,8.2,20.2,0,,335,6,,1013.9,
2023-05-01,12.2,7.3,16.4,0.2,,90,9.8,,1016,
2023-05-02,11.3,9,14,4.3,,117,23.6,,1017.4,
2023-05-03,9.7,8,13,8.4,,83,10.6,,1016.6,
2023-05-04,10.4,6.2,14.2,1,,74,7.3,,1017.4,
2023-05-05,12.2,7.9,17.8,0.4,,6,9.1,,1017.6,
