date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,10.8,5,16.6,0,,34,2.6,,1022.3,
2022-01-02,10.5,5.2,20,0,,54,3.4,,1023.8,
2022-01-03,11.1,5.6,16.2,0.9,,112,4.1,,1021.1,
2022-01-04,10.8,7.1,15.8,1.1,,111,5.1,,1017.7,
2022-01-05,12.1,7.2,19,0,,103,5.2,,1011.4,
2022-01-06,13,9.8,17.8,10.6,,110,7.5,,1010.1,
2022-01-07,11.1,8.7,15,4.8,,13,3.4,,1013,
2022-01-08,9.8,8,11.8,9,,7,3.2,,1009.7,
2022-01-09,8.5,6.1,11,5.3,,74,2.5,,1003.9,
2022-01-10,7.4,4.4,12,1.6,,354,2.7,,997.6,
2022-01-11,7.1,2.7,12.2,0.8,,359,5.4,,1006.2,
2022-01-12,5.9,0.7,12,0,,84,3.6,,1018.8,
2022-01-13,2.9,-2.6,10.4,0,,35,3.4,,1028.5,
2022-01-14,4.9,-1,13.2,0,,39,2.3,,1026.5,
2022-01-15,7.1,-1.6,16.6,0,,57,2.8,,1020.1,
2022-01-16,7.1,-1.4,16.4,0,,66,3.9,,1024.2,
2022-01-17,8.1,4.5,13.6,6.8,,55,4.1,,1022.8,
2022-01-18,5.9,-1,12.8,0,,16,5.1,,1026.8,
2022-01-19,3.7,-3.5,13.2,0,,44,3.9,,1030,
2022-01-20,6.9,0.2,14.2,6.1,,131,8,,1024.6,
2022-01-21,6.3,-0.2,9.6,19.7,,103,5.7,,1017.6,
2022-01-22,1.1,-3.1,5.4,0,,30,4.8,,1021,
2022-01-23,0.8,-3.4,7,0,,356,5.4,,1024.9,
2022-01-24,-0.1,-3.6,4.2,0,,9,8.8,,1027.4,
2022-01-25,-0.3,-5.2,9.4,0,,4,3.9,,1029.3,
2022-01-26,2.4,-3,11.4,0,,7,3.6,,1025.8,
2022-01-27,3.8,-2,10.6,0,,24,3.7,,1025.7,
2022-01-28,5.2,1.4,10.2,2.6,,103,4.5,,1023,
2022-01-29,4.6,-0.3,11.2,1.2,,20,4.8,,1022,
2022-01-30,4.5,-1.1,12.4,0,,97,2.7,,1020.3,
2022-01-31,5.9,-0.4,12.8,0,,117,5.7,,1013.3,
2022-02-01,7.1,3.9,9.5,12.3,,53,8,,999.9,
2022-02-02,5.8,2.2,13,0.3,,353,5.3,,1006.5,
2022-02-03,5,-1.4,12,0,,8,9.8,,1017.5,
2022-02-04,5.7,-1.6,16.2,0,,112,4.1,,1021.8,
2022-02-05,9.1,3.6,15.4,1.5,,33,4.2,,1019,
2022-02-06,10.9,7.4,17.8,1.1,,24,3,,1021.5,
2022-02-07,9.6,4.4,14,21.7,,200,10.6,,1011.8,
2022-02-08,5.1,1.2,9.6,0.2,,342,13.7,,1020.5,
2022-02-09,6,0.4,13.6,0,,9,4.5,,1028.9,
2022-02-10,9.3,2.2,18,0,,38,4,,1027.4,
2022-02-11,9.8,3.6,17.8,0,,50,3.9,,1024.7,
2022-02-12,10.6,5.2,18,0.1,,60,3.8,,1024.2,
2022-02-13,9.1,5.4,14,1.3,,25,5,,1025,
2022-02-14,9.2,4.3,17,0,,126,5.1,,1023.1,
2022-02-15,11.3,6.8,16.2,10.5,,134,9.4,,1020.6,
2022-02-16,10.3,8.2,13,21.9,,104,6.9,,1015.5,
2022-02-17,9.7,5.2,14.2,0,,16,3.7,,1013.9,
