date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,8.6,2.2,55.6,,,205,8.5,24.1,1016,
2021-01-02,5.7,1.2,10.2,,,79,6.4,24.1,1018.6,
2021-01-03,6.4,4.4,12.8,,,108,5.9,27.8,1016.5,
2021-01-04,5.7,3.9,7.7,,,261,4.1,16.7,1013.3,
2021-01-05,7.4,4.9,12,,,212,7.3,18.5,1013.6,
2021-01-06,8.5,5.9,12,,,204,9,27.8,1016,
2021-01-07,6.7,4.4,9.3,,,253,5.2,22.2,1015.1,
2021-01-08,3.7,2.6,5.2,,,300,3.5,22.2,1012.1,
2021-01-09,1.8,-1.3,4.6,,,297,6.9,25.9,1018.4,
2021-01-10,0.9,-0.8,2.8,,,8,6.5,31.5,1019.3,
2021-01-11,1.2,-0.6,3.8,,,300,6.4,31.5,1017.2,
2021-01-12,1,-1.9,3.6,,,325,3.5,18.5,1016.3,
2021-01-13,1.7,-0.6,4,,,305,2,14.8,1012.4,
2021-01-14,0.1,-3.6,4.2,,,266,6.5,22.2,1013.5,
2021-01-15,-1.9,-5.5,5,,,71,6.6,20.4,1017.6,
2021-01-16,-3,-5.6,1.4,,,76,15,29.6,1019,
2021-01-17,-2.6,-5.7,1.4,,,52,5.2,18.5,1019.4,
2021-01-18,-3.3,-7.2,-0.2,,,56,7.7,22.2,1023.2,
2021-01-19,-3,-8,2,,,310,1.8,14.8,1028.5,
2021-01-20,4.3,-1.5,9.7,,,232,9.2,25.9,1026.7,
2021-01-21,7.1,4.8,9.6,,,194,10.9,25.9,1022.9,
2021-01-22,9.2,7,11.6,,,208,15.5,27.8,1017.4,
2021-01-23,8.8,6.4,12.4,,,209,16,29.6,1009.5,
2021-01-24,7.9,5.3,10.6,,,188,13.2,27.8,1004.4,
2021-01-25,8.1,4.2,11.6,,,236,13,31.5,1003.1,
2021-01-26,3.2,-0.7,8.1,,,221,12.7,24.1,1008.2,
2021-01-27,0,-2.3,4.8,,,27,8.5,20.4,1014.4,
2021-01-28,-0.9,-5.9,4.6,,,284,4.1,18.5,1016.5,
2021-01-29,6,3.3,8.8,,,227,13.1,27.8,1010.5,
2021-01-30,8.4,4.7,14.2,,,269,4.5,16.7,1004.1,
2021-01-31,8.8,5.4,12.4,,,175,12.4,24.1,1002.2,
2021-02-01,8.4,6.3,11.2,,,211,11,22.2,1001.7,
2021-02-02,7.1,5.1,10.2,,,252,4,13,1011.1,
2021-02-03,9.8,4.6,16.4,,,251,6.4,20.4,1018,
2021-02-04,10.4,6.8,15.2,,,282,4.9,24.1,1019.1,
2021-02-05,9.6,5.8,16.2,,,288,3.4,20.4,1020.4,
2021-02-06,12.4,5.9,21.4,,,272,6.7,25.9,1017,
2021-02-07,13.1,8.1,21,,,251,8.2,25.9,1011.1,
