date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,9,5,17,0,,37,2.9,11.1,1031.8,
2023-01-02,8.5,4,13.9,0,,54,3.5,9.3,1031.5,
2023-01-03,8.1,4.3,15.6,0,,62,5.2,9.3,1029.5,
2023-01-04,9,5.4,15.2,0,,58,4.1,14.8,1028.1,
2023-01-05,8.5,3.9,15.2,0,,75,4.4,13,1024.4,
2023-01-06,8.3,3.8,16,0,,33,4.2,14.8,1024.3,
2023-01-07,7.2,2.6,15,0,,62,6.1,14.8,1024.3,
2023-01-08,7.2,2.2,13,0,,85,4.4,9.3,1022.5,
2023-01-09,11.4,9.6,13,44,,132,10.9,20.4,1014.8,
2023-01-10,9.9,6.7,12.6,14.6,,287,9.1,16.7,1007.5,
2023-01-11,8.3,5.6,12,0.3,,55,7.1,18.5,1015,
2023-01-12,7,1.2,12,0,,45,7.6,16.7,1019.9,
2023-01-13,6.1,1.4,13.2,0,,63,6.5,14.8,1020.8,
2023-01-14,7.6,4.1,15,0,,35,5.1,16.7,1020.1,
2023-01-15,7.5,4.5,13,0,,84,6.4,16.7,1020.1,
2023-01-16,8.3,4.4,12.2,43.9,,132,9.7,25.9,1010.3,
2023-01-17,12.8,10.5,15,85.3,,162,15.4,29.6,1001.2,
2023-01-18,14,11.4,16.2,88,,178,17.4,35.2,1001.3,
2023-01-19,11.7,8.6,15.1,68.8,,159,11.4,29.6,1005.1,
2023-01-20,8.3,6,12.6,24,,96,8.7,22.2,1006.7,
2023-01-21,7.7,6.4,9.3,45.9,,104,13.8,29.6,1006.7,
2023-01-22,8.9,7,13,11.6,,83,10.5,25.9,1015.6,
2023-01-23,7.8,6,10,33,,75,8.8,24.1,1019.3,
2023-01-24,8.3,5.3,12.6,4.3,,63,7.6,18.5,1025.5,
2023-01-25,7.2,3,10.2,1.1,,65,11.3,27.8,1022.9,
2023-01-26,8.1,5,10.2,3.7,,80,13.7,25.9,1012.1,
2023-01-27,7,4.7,9.6,5.4,,75,11.1,24.1,1007.9,
2023-01-28,6.4,3.2,11.5,0,,76,9.9,22.2,1013.8,
2023-01-29,6.4,1,11,0,,66,10.7,22.2,1019.8,
2023-01-30,5.5,0,10.5,0,,57,6,18.5,1018.8,
2023-01-31,6.1,2.6,12.2,0,,15,7.7,24.1,1017.7,
2023-02-01,5.9,1,12.6,0,,37,5.9,13,1023.1,
2023-02-02,7.2,3,12.6,0,,96,5.1,13,1022.6,
2023-02-03,6.1,2.5,11,0,,21,6.1,20.4,1024.8,
2023-02-04,5.9,2.9,10.4,0.3,,45,11.5,25.9,1018.7,
2023-02-05,2.5,-0.7,6.6,0,,44,11.7,25.9,1023.6,
2023-02-06,0.7,-3.4,5,0,,48,14.4,25.9,1028.5,
2023-02-07,1.7,-1.9,6.8,0,,25,12.7,24.1,1032.4,
2023-02-08,1.1,-3.9,5.8,0,,67,16.7,31.5,1035,
2023-02-09,2.4,-0.6,6.8,0,,63,12.1,25.9,1034,
2023-02-10,3,-3,9.5,0,,54,8.4,24.1,1032.8,
2023-02-11,3.4,-2.3,11.2,0,,17,6.6,18.5,1033.2,
2023-02-12,4.6,-1.2,13.6,0,,38,7.5,22.2,1030.4,
2023-02-13,5,0,11.5,0,,1,10,20.4,1034.7,
2023-02-14,5.9,-0.8,14.4,0,,31,5.2,20.4,1031.5,
2023-02-15,7.5,1.2,14.6,0,,44,6.9,22.2,1030.4,
2023-02-16,7.5,0.7,15.4,0,,139,4.7,11.1,1031.6,
2023-02-17,8,3.2,15.5,0,,101,5.2,11.1,1031,
2023-02-18,9,4,15,0,,109,5,11.1,1029.9,
2023-02-19,8.9,5.2,12.8,0,,28,4.2,11.1,1026.2,
2023-02-20,10.4,4.2,18.8,0,,15,4.8,16.7,1025.1,
2023-02-21,10.2,5.2,17.2,0,,117,6.4,11.1,1023,
2023-02-22,10.2,4,18.4,0,,97,5,13,1018.4,
2023-02-23,10.3,5.6,16.4,1.3,,189,4.9,13,1016.9,
2023-02-24,10.9,6.4,16.2,0.4,,136,4.8,13,1016.8,
2023-02-25,12.6,8.6,15,2.8,,162,6.1,16.7,1010.5,
2023-02-26,13.4,11.2,18.4,25.4,,148,7.8,22.2,1003.4,
2023-02-27,10.8,8.3,13,16.4,,99,9.1,18.5,1013.6,
2023-02-28,11.7,8.6,15.7,5,,67,10.4,25.9,1018.7,
2023-03-01,11.4,7.4,20,15.4,,71,11.8,25.9,1016.3,
2023-03-02,11.3,8.5,16.2,1.8,,21,6.9,14.8,1016.5,
2023-03-03,9.9,7.7,13.4,2.4,,64,5.6,14.8,1016.1,
2023-03-04,10,7.6,14,0.7,,90,9.4,20.4,1013.9,
2023-03-05,11.1,6.8,16.6,0,,86,7.8,16.7,1011.1,
2023-03-06,10,8,14,10.8,,127,8.5,16.7,1012.7,
2023-03-07,9.6,7,13,17.4,,64,5.8,13,1010.8,
2023-03-08,11,6.8,16.2,14.6,,127,6,14.8,1012.4,
2023-03-09,12.9,11,15.1,9.1,,144,8,16.7,1012.7,
2023-03-10,13.5,12.2,16.6,51.4,,129,12.9,24.1,1006.3,
2023-03-11,12,9.4,15.2,9.8,,141,6.5,20.4,1002.3,
2023-03-12,11.2,8.4,15.2,0,,57,12.9,27.8,1010.9,
