date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,8.8,1,17.2,0,,352,2.2,,1031.6,
2023-01-02,9,-1,16.4,0,,340,1.7,,1031.2,
2023-01-03,7.7,-0.6,16.1,0,,354,2.7,,1029.3,
2023-01-04,7.4,0.4,16,0,,3,5.3,,1026.9,
2023-01-05,7.2,0.4,15,0,,357,2.7,,1024.2,
2023-01-06,7.9,0.2,16.4,0,,6,3.8,,1023.4,
2023-01-07,8.1,-0.8,15.8,0,,338,1.9,,1023.5,
2023-01-08,6.8,-1.8,15.4,0,,349,1.7,,1022.7,
2023-01-09,7.8,0.2,11.8,45.3,,185,4.6,,1019.2,
2023-01-10,8.4,5.4,10.8,31.5,,355,3.6,,1008.9,
2023-01-11,5.5,1.4,10.2,0,,7,6.6,,1014.1,
2023-01-12,4.5,-1.3,12,0,,5,4.1,,1018.3,
2023-01-13,5.1,-1.6,12.6,0,,356,3.8,,1020,
2023-01-14,6.4,-0.4,13.4,0,,349,3.3,,1020,
2023-01-15,6.4,-0.6,15.2,0,,349,4,,1019.6,
2023-01-16,7.2,0.2,10.6,17.4,,179,5.6,,1014.1,
2023-01-17,10.7,7.1,14.4,92.6,,185,12.3,,1007.2,
2023-01-18,12.6,9.5,18,66.4,,176,19.7,,1006.9,
2023-01-19,11,8,17,90.2,,165,18.1,,1008.5,
2023-01-20,7,5.1,8.4,29.3,,181,7.6,,1008.4,
2023-01-21,6.3,4.2,9.2,47.5,,158,12.5,,1009.5,
2023-01-22,7.9,3.6,12.2,7.9,,93,8.2,,1016.5,
2023-01-23,7.6,5.8,9.1,64.5,,78,7.2,,1020.4,
2023-01-24,7.7,2.5,14.8,0.8,,12,3.5,,1025.2,
2023-01-25,6,1.6,9,10.9,,14,7.6,,1022,
2023-01-26,6,4.4,9,25.1,,10,8.3,,1011.8,
2023-01-27,5.6,1.6,9.8,0.4,,357,3.6,,1006.6,
2023-01-28,4.9,-1.6,14,0.5,,340,3,,1011.9,
2023-01-29,4.8,-1,12,0,,10,4.2,,1017.5,
2023-01-30,4.5,-1,10.4,0,,356,6,,1017.5,
2023-01-31,5.1,1.2,11,0.1,,7,6.3,,1015.8,
2023-02-01,4.7,-2,17.6,0,,357,6.4,,1022,
2023-02-02,5.7,-3,11.4,0.3,,344,3.5,,1023.1,
2023-02-03,5.5,-1,12.8,0.5,,355,5.9,,1024.3,
2023-02-04,5.5,-1,11.6,2.3,,345,6.4,,1018,
2023-02-05,2,-2.3,6.8,0,,359,13.9,,1017.9,
2023-02-06,-0.6,-4.3,4.6,0,,10,9.6,,1024,
2023-02-07,0,-6.6,6.2,0,,8,7.1,,1029.9,
2023-02-08,0.4,-7,8.6,0,,27,6.8,,1032.4,
2023-02-09,1.8,-5,8,0,,15,6.4,,1032.2,
2023-02-10,4,-2.4,11,0,,11,4.7,,1031.5,
2023-02-11,4.6,-5,14.2,0,,344,4.6,,1031.8,
2023-02-12,5,-4.4,12.2,0,,2,6.3,,1028.6,
2023-02-13,6.2,-0.8,14.2,0,,1,5.9,,1033.3,
2023-02-14,5.7,-3.2,14,0,,1,6,,1030,
2023-02-15,6.9,-3.8,16.8,0,,343,3.8,,1028.8,
